Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
51950,HABITAT-NYC SINGLE FAMILY HOMES PHASE II,LENOX ROAD,Brooklyn,3046650005.0,3101679.0,40.65628,Preservation,No,Non Prevailing Wage,0,0,16,0,0,0,0,1,8,7,0,0,0,0,16,16,16
52000,34-37 Realty Ltd.,SPOFFORD AVENUE,Bronx,2027630162.0,2006535.0,40.814441,Preservation,No,Non Prevailing Wage,0,3,38,5,0,0,0,46,0,0,0,0,0,46,0,46,46
52014,A.D. & Nash Co. L.P.,FULTON STREET,Brooklyn,3017040017.0,3048047.0,40.678977,Preservation,Yes,Non Prevailing Wage,0,0,30,0,2,0,0,10,10,11,1,0,0,32,0,32,32
52021,829 Southern Blvd. HDFC,SOUTHERN BOULEVARD,Bronx,2027210020.0,2005740.0,40.81707,Preservation,No,Non Prevailing Wage,0,48,0,0,0,1,7,37,5,0,0,0,0,1,48,49,49
52022,3279 HULL AVE. HDFC,HULL AVENUE,Bronx,2033470043.0,2018362.0,40.876193,Preservation,No,Non Prevailing Wage,0,51,0,0,0,0,0,33,18,0,0,0,0,0,51,51,51
52053,525 West 52nd Street,WEST 52 STREET,Manhattan,1010817501.0,1090143.0,40.766521,New Construction,No,Non Prevailing Wage,0,0,79,0,0,0,19,39,21,0,0,0,0,79,0,79,392
52056,2015 Monterey Avenue LLC aka PRC Monterey,EAST 178 STREET,Bronx,2030610034.0,2011841.0,40.847638,Preservation,No,Non Prevailing Wage,0,0,159,0,0,0,0,16,106,33,4,0,0,159,0,159,330
52075,PHIPPS PLAZA SOUTH/KB 25,EAST 25 STREET,Manhattan,1009310017.0,1090206.0,40.738855,New Construction,No,Non Prevailing Wage,0,0,22,0,0,0,0,0,22,0,0,0,0,22,0,22,56
52082,ESSEX CROSSING - SITE 1,BROOME STREET,Manhattan,1004097502.0,1089450.0,40.717845,New Construction,No,Non Prevailing Wage,0,0,0,11,0,0,0,5,4,2,0,0,0,0,11,11,55
52083,Essex Crossing - Site 5,CLINTON STREET,Manhattan,1003467501.0,1089660.0,40.71661,New Construction,No,Non Prevailing Wage,0,6,53,17,28,0,40,17,42,5,0,0,0,104,0,104,211
